Accuracy comparison of Mnist dataset,,,
Metric,K,Accuracy,Confusion Matrix
manhattan,1,0.965714286,"[1331    0    4    0    0    0    5    2    1    0    0 1591    2    0
    2    0    0    4    0    1   13   16 1315    3    1    1    5   21
    3    2    0    3   10 1378    0   15    0    8    9   10    1   11
    1    0 1246    0    2    5    1   28    1    3    0   21    4 1228
   10    0    3    3    4    1    0    0    5    8 1375    0    2    1
    1   19    4    1    6    0    0 1461    1   10    4   15    5   24
    4   25    7    9 1249   15    6    3    1    9   28    2    0   25
    0 1346]"
manhattan,2,0.956142857,"[1337    0    2    0    0    0    2    1    1    0    0 1594    1    0
    1    0    0    4    0    0   17   29 1315    3    1    0    2   13
    0    0    0    6   20 1386    0    4    0    9    3    5    4   14
    2    0 1255    0    2    2    1   15    6    7    0   52    5 1196
    5    0    1    1   13    3    1    0    6    8 1365    0    0    0
    1   25    4    2   10    0    0 1456    0    5    8   24   13   50
    6   45    9   13 1181    8    8    9    2   13   43    2    0   41
    1 1301]"
manhattan,3,0.966142857,"[1331    1    5    0    0    0    4    1    1    0    0 1593    2    0
    1    0    0    3    0    1    7   24 1322    1    1    2    4   16
    1    2    1    4   14 1376    0   10    2   14    6    6    3   12
    2    0 1244    0    2    5    1   26    5    7    0   13    2 1231
   12    0    1    2    5    1    0    0    4    4 1382    0    0    0
    1   22    3    0    5    0    0 1460    0   12    5   21    6   27
    3   21    5   13 1242   14    7    8    3   12   25    0    0   19
    1 1345]"
manhattan,4,0.962571429,"[1334    1    3    0    0    0    3    1    1    0    0 1593    1    0
    1    1    0    3    0    1    8   28 1314    1    3    2    4   16
    1    3    0    7   17 1378    0    5    2   11    6    7    3   12
    2    0 1249    0    1    2    1   25    3    8    0   29    5 1218
    8    0    1    1    7    1    1    0    5    7 1375    0    0    0
    1   25    5    0    4    0    0 1457    1   10    4   24    7   32
    4   30    9   15 1222   10    5    8    3   10   30    1    0   26
    1 1336]"
manhattan,5,0.965,"[1333    1    3    0    0    0    4    1    1    0    0 1593    1    0
    1    1    0    3    0    1    8   29 1310    1    2    2    4   20
    2    2    0    5   12 1376    1    7    2   17    5    8    3   11
    1    0 1249    0    2    3    1   25    2    8    0   20    3 1226
   11    0    1    2    6    1    1    0    4    5 1379    0    0    0
    1   25    4    0    2    0    0 1458    1   12    3   22    7   29
    4   27    6   10 1237   12    6    9    2    9   18    3    0   23
    1 1349]"
manhattan,6,0.961071429,"[1333    1    3    0    1    0    3    1    1    0    0 1593    1    0
    1    1    0    3    0    1   10   36 1305    2    2    2    4   15
    2    2    0    8   11 1378    1    6    2   13    5    9    3   13
    1    0 1250    0    1    3    0   24    2    8    0   24    4 1220
   10    0    2    3    6    2    1    0    4    6 1377    0    0    0
    1   28    5    0    5    0    0 1452    1   11    5   25    9   32
    4   36    7   14 1212   13    7    9    2   12   24    1    1   28
    1 1335]"
manhattan,7,0.962,"[1333    0    4    0    0    0    4    1    1    0    0 1591    1    1
    1    1    0    4    0    1   11   34 1301    1    3    2    6   18
    2    2    0    7    8 1374    1    8    2   15    7   11    3   12
    1    0 1245    0    2    3    1   28    2    9    0   20    2 1225
   11    0    1    3    5    2    1    0    4    6 1378    0    0    0
    1   27    5    0    4    0    0 1453    1   12    5   24    8   31
    3   28    8   15 1220   15    7    9    2   12   17    1    1   22
    1 1348]"
manhattan,8,0.961285714,"[1335    1    3    0    0    0    2    1    1    0    0 1592    1    0
    0    1    0    4    0    2   11   39 1298    3    1    2    7   16
    1    2    0   10   11 1371    1    8    2   13    7   10    3   15
    1    0 1247    0    1    4    1   23    2   11    0   22    4 1216
   14    0    1    3    6    2    1    0    4    6 1377    0    0    0
    1   28    5    0    4    0    0 1453    1   11    4   24    8   31
    3   29    8   15 1222   13    6    9    2   13   17    1    1   23
    1 1347]"
manhattan,9,0.9605,"[1329    1    4    0    0    3    3    1    1    1    0 1591    1    1
    1    1    0    4    0    1   11   36 1292    3    2    3    7   22
    2    2    0    9   11 1370    1    8    2   16    5   11    3   14
    1    0 1242    0    2    3    1   29    4   11    0   23    2 1213
   14    0    2    4    6    2    1    0    3    6 1378    0    0    0
    1   28    4    0    2    0    0 1455    1   12    5   25    8   32
    3   29    7   13 1221   14    6    9    2   13   14    2    1   16
    1 1356]"
manhattan,10,0.958785714,"[1327    1    4    0    0    4    4    1    1    1    0 1590    1    1
    1    1    0    4    0    2   13   40 1288    3    1    3    8   20
    1    3    0   12   13 1364    1    7    2   18    6   10    3   15
    1    0 1243    0    2    4    1   26    3   11    0   22    2 1216
   13    0    2    4    6    2    1    0    3    6 1378    0    0    0
    1   29    5    0    3    0    0 1452    0   13    6   28    8   33
    3   28    5   15 1215   16    6   10    3   13   14    1    1   21
    1 1350]"
